restaurant_id,scraped_rating,scraped_review_count,timestamp
168,4.5,185,2026-02-08T02:54:06.382747
222,4.4,796,2026-02-08T02:54:21.343899
33,4.2,1161,2026-02-08T10:08:44.667418
423,4.0,561,2026-02-08T10:09:19.830619
425,4.1,605,2026-02-08T10:09:33.736102
426,4.2,522,2026-02-08T10:09:46.137799
447,4.4,358,2026-02-08T10:09:58.336108
554,3.6,69,2026-02-08T10:10:10.757691
565,4.5,553,2026-02-08T10:10:23.055891
598,4.4,1719,2026-02-08T10:10:35.476341
643,4.5,825,2026-02-08T10:10:48.173460
668,4.7,1256,2026-02-08T10:11:00.672444
680,4.7,1021,2026-02-08T10:11:13.106046
694,4.2,122,2026-02-08T10:11:25.535371
742,4.7,696,2026-02-08T10:11:46.724568
745,4.6,832,2026-02-08T10:12:01.570966
753,4.4,569,2026-02-08T10:12:14.966913
763,4.5,766,2026-02-08T10:12:27.889321
783,4.5,51,2026-02-08T10:12:45.312803
808,4.2,2272,2026-02-08T10:13:07.884876
835,4.2,384,2026-02-08T10:28:28.342507
837,4.6,4908,2026-02-08T10:28:40.800262
843,4.4,623,2026-02-08T10:28:53.228333
863,4.4,790,2026-02-08T10:29:05.601363
875,4.4,170,2026-02-08T10:29:21.973609
894,4.8,15853,2026-02-08T10:29:34.597118
915,4.4,883,2026-02-08T10:44:59.244038
923,4.6,2130,2026-02-08T10:45:11.761337
933,4.6,4908,2026-02-08T10:45:27.334698
945,4.4,3409,2026-02-08T10:45:39.988434
955,4.4,149,2026-02-08T11:00:55.308554
979,4.3,450,2026-02-08T11:01:08.182619
982,4.1,104,2026-02-08T11:01:20.622065
997,4.4,428,2026-02-08T11:01:34.648537
1000,4.3,1768,2026-02-08T11:01:47.093780
1003,4.2,183,2026-02-08T11:01:59.504954
1007,4.5,913,2026-02-08T11:02:13.171014
1039,4.7,1615,2026-02-08T11:02:37.309024
1056,4.6,677,2026-02-08T11:02:49.864332
1063,4.6,915,2026-02-08T11:03:03.625552
1065,4.3,1689,2026-02-08T11:03:16.212346
1075,4.2,480,2026-02-08T11:03:29.752645
1153,4.5,393,2026-02-08T11:03:44.880496
1157,4.7,42,2026-02-08T11:03:57.456111
1159,4.8,1266,2026-02-08T11:04:10.025752
1167,4.4,807,2026-02-08T11:04:22.479336
1168,4.1,442,2026-02-08T11:04:34.694041
1170,4.3,216,2026-02-08T11:04:46.995638
1181,4.8,349,2026-02-08T11:05:05.991628
1184,3.9,146,2026-02-08T11:05:18.608226
1198,4.5,4297,2026-02-08T11:05:37.723942
1220,4.5,293,2026-02-08T11:05:49.991715
1235,4.5,1018,2026-02-08T11:06:02.466311
1236,4.7,877,2026-02-08T11:06:15.034770
1239,4.7,634,2026-02-08T11:06:28.850949
1242,4.2,193,2026-02-08T11:06:41.308993
1243,4.0,153,2026-02-08T11:06:53.792954
1244,4.5,426,2026-02-08T11:07:06.293738
1245,4.0,170,2026-02-08T11:07:18.681750
1246,4.0,227,2026-02-08T11:07:31.111737
1259,4.4,160,2026-02-08T11:07:43.369001
1296,4.6,2305,2026-02-08T11:07:56.323539
