restaurant_id,rating,relative_date,text_snippet,scraped_at,review_date
168,5.0,a week ago,I came quite early at 5:30 p.m. so it was very empty and quiet. Perfect time to see the sunset.  The place has a beautiful view and a wonderful decor. I would describe it as being rustic yet refined. ,2026-02-08T02:54:17.594257,2026-02-01
168,5.0,a month ago,"The pasta was cooked to perfection, with a chewy texture and rich flavor. The main course ingredients were fresh and very satisfying. The restaurant had a warm and comfortable atmosphere, and the wait",2026-02-08T02:54:17.616458,2026-01-09
168,5.0,3 months ago,"Everything was so nice, the food was really good, recommend the soup!! Also wagyu steak was so juicy.
I also like the service here, Miss K. Khing is very nice and caring, besides …",2026-02-08T02:54:17.638212,2025-11-10
168,5.0,3 months ago,Beautiful rooftop views of Bkk night lights. Good Italian dishes with attentive service. Great wine list. Convenient parking.,2026-02-08T02:54:17.660223,2025-11-10
168,5.0,2 months ago,"Great, intimate dining experience. Sunset views from large west facing windows. Wait staff attentive and the food was divine. Mushroom soup and wagyu stood out as highlights, well worth a visit.",2026-02-08T02:54:17.682517,2025-12-10
168,5.0,5 months ago,"Culinary Excellence at Attico Cucina Italiana
Perched atop the Radisson Blu Plaza Hotel, the Attico Cucina Italiana restaurant combines a refined ambiance with a panoramic view of Bangkok’s iconic sky",2026-02-08T02:54:17.706250,2025-09-11
168,5.0,5 months ago,"Highly recommended. We had an early dinner at this restaurant. The view of Bangkok in the evening from the large windows was beautiful. The atmosphere inside the restaurant was nice, and the staff wer",2026-02-08T02:54:17.729151,2025-09-11
168,4.0,8 months ago,Great view of the city. We came for the little chef pizza class and had lunch there. Staff kindly accommodated by 2+ year old daughter for the class even though the recommended age was 4 years old and,2026-02-08T02:54:17.749456,2025-06-13
168,5.0,a month ago,"A highly regarded Italian restaurant located on the 28th floor of Radisson Blu Plaza Bangkok, known for its authentic Italian cuisine, Tuscan-inspired ambiance, and great skyline views over Sukhumvit.",2026-02-08T02:54:17.775168,2026-01-09
168,5.0,10 months ago,"The 28th floor view and service is a plus point. Bathrooms are nice. Expect to shell out a good amount of money, of course it's inside Radisson Hotel.
You can wear casuals and go. The dress code is no",2026-02-08T02:54:17.798876,2025-04-14
168,5.0,10 months ago,"Wow!! My husband and I are staying at the Radisson hotel and didn’t went to walk around for dinner, so we looked at restaurants inside the hotel and saw this one. From the moment we entered the restau",2026-02-08T02:54:17.823923,2025-04-14
168,5.0,3 months ago,"Amazing experience and good value. Highly recommended. Great, panoramic sunset views. Very romantic. Great for couples, clients and friends. Great food. Great service. Great wine list. On this visit, ",2026-02-08T02:54:17.843939,2025-11-10
168,3.0,4 months ago,"Very good atmosphere and ambiance
Good view of the city
However the food is very bad. Almost all pasta dishes tasted very salty and …",2026-02-08T02:54:17.863353,2025-10-11
168,5.0,a year ago,"The service was very good.  My meal was excellent, with balanced flavours and delicious tastes.  There was value in the deal I purchased, with one exception being the substitution of water for the moc",2026-02-08T02:54:17.887090,2025-02-08
168,5.0,11 months ago,"They have an amazing view and really high ceilings so it would be great for a private party, it was really quiet at 5 PM, which was nice. They had friendly service. The roasted vegetables were amazing",2026-02-08T02:54:17.909096,2025-03-15
168,5.0,a year ago,"Attico is a well located Italian restaurant with great skyline view from Radisson hotel. the atmosphere and ambience is nice, staff are friendly and active. Food is good and priced at a good range. Qu",2026-02-08T02:54:17.934041,2025-02-08
168,5.0,2 years ago,We went for our Xmas eve date night and everything was lovely. The staff were welcoming and professional. We order focaccia and pasta. My boyfriend can not have cheese so the staff and the chef made s,2026-02-08T02:54:17.955175,2024-02-09
168,5.0,6 months ago,"The restaurant is very elegant, the food is amazing!!.  One of the best italian food restaurants in Bkk,  the service is also nice and the views of the city are stunning.  No needed booking, and we de",2026-02-08T02:54:17.975569,2025-08-12
