restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,playCount,diggCount,shareCount,tiktok_post_count,gmaps_reviews_scraped,gmaps_avg_rating_scraped,wongnai_rating,wongnai_reviews,facebook_likes
33,Audrey Cafe Thonglor Soi 11,ออเดรย์ คาเฟ่ ทองหล่อ ซ.11,Thonglor,0.0,0.0,0.0,0.0,5.0,3.2,,,
34,,ราง มาฮาล รูฟท็อป,Bangkok,0.0,0.0,0.0,0.0,,,,,
168,Attico Cucina Italiana Radisson Blu Plaza Bangkok,แอทติโก้ โรงแรม เรดิสัน บลู พลาซ่า กรุงเทพฯ,Asok,0.0,0.0,0.0,0.0,5.0,4.4,,,
220,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Asok,0.0,0.0,0.0,0.0,5.0,5.0,,,
222,Rain Tree Cafe at The Athenee Hotel,เรน ทรี คาเฟ่ ดิ แอทธินี โฮเทล แบงค็อก,Ploenchit,0.0,0.0,0.0,0.0,5.0,5.0,,,6.0
238,,Hungry Hub Test Booking 01,Bangkok,0.0,0.0,0.0,0.0,,,,,
257,,Demo Accounts,Bangkok,0.0,0.0,0.0,0.0,,,,,
273,Skyline at Avani+ Riverside Bangkok Hotel,สกายไลน์ โรงแรมอวานี พลัส ริเวอร์ไซด์ กรุงเทพฯ,Thonburi,0.0,0.0,0.0,0.0,10.0,4.7,,,
280,Vertigo Rooftop Banyan Tree,เวอร์ทิโก้ รูฟท็อป โรงแรมบันยันทรี,Sathon,0.0,0.0,0.0,0.0,5.0,4.2,,,
370,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Asok,0.0,0.0,0.0,1.0,5.0,3.4,,,
373,,Demo Basic Free Reservation,Bangkok,0.0,0.0,0.0,0.0,,,,,
423,,ออเดรย์ คาเฟ่ สยามเซ็นเตอร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
424,,ออเดรย์ คาเฟ่ เซ็นทรัลเอ็มบาสซี,Bangkok,0.0,0.0,0.0,0.0,,,,,
425,Audrey Cafe EmQuartier,ออเดรย์ คาเฟ่ เอ็มควอเทียร์,Phrom Phong,0.0,0.0,0.0,0.0,5.0,4.2,,,
426,Audrey Cafe Central Ladprao,ออเดรย์ คาเฟ่ เซ็นทรัล ลาดพร้าว,Ladprao,0.0,0.0,0.0,0.0,5.0,2.4,,,
