restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,total_revenue,total_bookings,total_guests,avg_revenue_per_booking,no_show_rate
33,Audrey Cafe Thonglor Soi 11,ออเดรย์ คาเฟ่ ทองหล่อ ซ.11,Thonglor,27126667,186954192.0,8458.0,30518.0,22103.829746985102,0.0098131946086545
34,,ราง มาฮาล รูฟท็อป,Bangkok,22617050,4753680.0,181.0,479.0,26263.42541436464,0.011049723756906
168,Attico Cucina Italiana Radisson Blu Plaza Bangkok,แอทติโก้ โรงแรม เรดิสัน บลู พลาซ่า กรุงเทพฯ,Asok,23023329,8298300.0,313.0,797.0,26512.140575079877,0.0127795527156549
220,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Asok,26498353,18577420.0,326.0,1140.0,56985.9509202454,0.0061349693251533
222,Rain Tree Cafe at The Athenee Hotel,เรน ทรี คาเฟ่ ดิ แอทธินี โฮเทล แบงค็อก,Ploenchit,02-650-8800,536063802.0,10418.0,48243.0,51455.53868304857,0.0075830293722403
238,,Hungry Hub Test Booking 01,Bangkok,Test Package,14890.0,2.0,3.0,7445.0,0.0
257,,Demo Accounts,Bangkok,,61455.0,2.0,5.0,30727.5,0.0
273,Skyline at Avani+ Riverside Bangkok Hotel,สกายไลน์ โรงแรมอวานี พลัส ริเวอร์ไซด์ กรุงเทพฯ,Thonburi,655198426,23610220.0,517.0,1543.0,45667.73694390716,0.0058027079303675
280,Vertigo Rooftop Banyan Tree,เวอร์ทิโก้ รูฟท็อป โรงแรมบันยันทรี,Sathon,26791200,1349417435.0,19537.0,44873.0,69069.8385115422,0.0066028561191585
370,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Asok,26498356,268068890.0,8416.0,26256.0,31852.292062737644,0.0317252851711026
373,,Demo Basic Free Reservation,Bangkok,,17000.0,2.0,4.0,8500.0,0.0
423,,ออเดรย์ คาเฟ่ สยามเซ็นเตอร์,Bangkok,26581545,124020204.0,7690.0,22598.0,16127.464759427829,0.0057217165149544
424,,ออเดรย์ คาเฟ่ เซ็นทรัลเอ็มบาสซี,Bangkok,21605876,25232540.0,1040.0,3778.0,24262.05769230769,0.0278846153846153
425,Audrey Cafe EmQuartier,ออเดรย์ คาเฟ่ เอ็มควอเทียร์,Phrom Phong,20036244,168529924.0,10550.0,34569.0,15974.40037914692,0.0100473933649289
426,Audrey Cafe Central Ladprao,ออเดรย์ คาเฟ่ เซ็นทรัล ลาดพร้าว,Ladprao,29371091,328577456.0,29743.0,75285.0,11047.219715563326,0.0041690481794035
447,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Chidlom,26879100,18010890.0,535.0,1356.0,33665.214953271025,0.016822429906542
554,,ออเดรย์ คาเฟ่ สเปลล์ฟิวเจอร์ปาร์ค รังสิต,Bangkok,21509079,7019766.0,403.0,1152.0,17418.774193548386,0.0074441687344913
565,Bai Yun Banyan Tree Bangkok,ห้องอาหารไบยุนโรงแรมบันยันทรี,Rajdamri,26791200,128388880.0,3578.0,11892.0,35882.861934041364,0.0237562884292901
598,Broccoli Revolution Sukhumvit 49,บรอกโคลี เรฟโวลูชั่น สุขุมวิท 49,Thonglor,952519799,482880.0,38.0,109.0,12707.368421052632,0.0
643,Mojjo Rooftop Lounge & Bar Skyview Hotel,โมจโจ รูฟท็อป เลาจน์ แอนด์ บาร์ Skyview Hotel,Phrom Phong,20111111,614407780.0,11314.0,25979.0,54305.08926993106,0.0145837016086264
668,Boon Tong Kee Seacon Square,บุญตงกี่ ซีคอนสแควร์,Bangkok,20953083,95960240.0,6865.0,18476.0,13978.18499635834,0.0091769847050254
680,Boon Tong Kee Central Pinklao,บุญตงกี่ เซ็นทรัลปิ่นเกล้า,Pinklao,28826028,82534940.0,7690.0,22066.0,10732.762028608582,0.0117035110533159
694,,ฮองมิน เซ็นทรัลบางนา,Bangkok,23985212,35006850.0,1727.0,6304.0,20270.32426172553,0.0098436595251881
701,Le Boeuf,เลอเบิฟ,Bangkok,948969038,10160790.0,433.0,1100.0,23466.027713625863,0.0300230946882217
712,Vertigo TOO Banyan Tree,เวอร์ทิโก้ทู โรงแรมบันยันทรี,Sathon,26791200,1420502335.0,45559.0,105709.0,31179.40110625782,0.002919291468206
740,,ฮองมิน เอ็มบีเคเซ็นเตอร์,Bangkok,28539492,56470900.0,2393.0,7450.0,23598.370246552444,0.0171333054743
741,,ฮองมิน บิ๊กซีลาดพร้าว,Bangkok,29388177,30619350.0,1393.0,4354.0,21980.868628858578,0.0064608758076094
742,,ฮองมิน ฟิวเจอร์พาร์ครังสิต,Bangkok,29586273,51160800.0,2121.0,8220.0,24121.07496463932,0.0094295143800094
743,,ฮองมิน แฟชั่นไอส์แลนด์,Bangkok,29475270,32565350.0,1762.0,6369.0,18482.037457434733,0.0085130533484676
744,,ฮองมิน เซ็นทรัลปิ่นเกล้า,Bangkok,28849688,51699550.0,4312.0,12987.0,11989.691558441558,0.0023191094619666
745,,ฮองมิน เมกาบางนา,Bangkok,21051435,46974700.0,2232.0,7760.0,21046.012544802867,0.0089605734767025
746,,ฮองมิน เดอะพาซิโอกาญจนาภิเษก,Bangkok,21113884,90475250.0,4719.0,17150.0,19172.54714981988,0.0072049162958253
753,Boon Tong Kee Sukhumvit 49,บุญตงกี่ สุขุมวิท 49,Phrom Phong,20739965,11311510.0,1044.0,2782.0,10834.77969348659,0.0201149425287356
763,Cantina Wine Bar & Italian Kitchen,แคนทีนา ไวน์บาร์ แอนด์ อิตาเลียน คิทเช่น,Ari,20385114,903240.0,24.0,63.0,37635.0,0.0
781,Miche Boulangerie and Coffee Bar,มิเช่ บูลางเจอรี่ แอนด์ คอฟฟี่ บาร์,Thonglor,941916629,1174920.0,295.0,621.0,3982.779661016949,0.0
783,THINK Cafe @ The BLOC,ธิงค์ คาเฟ่ @เดอะบล็อก,Taling Chan,865558789,644500.0,31.0,73.0,20790.322580645163,0.0
788,,โตไก เจแปนนิสเรสเตอรอง ประสานมิตร,Bangkok,632526770,23080422.0,1518.0,3283.0,15204.494071146246,0.0006587615283267
