restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,searchString,gmaps_reviews_scraped,gmaps_avg_rating_scraped,playCount,diggCount,shareCount,tiktok_post_count,master_index,raw_engagement,log_engagement,momentum_score,reliability,quality_score,stability_score,final_priority_score,validation_status
220,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Asok,26498353,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel Asok Bangkok,5.0,5.0,39130204.0,4293161.0,324969.0,61.0,3,6309308.04,15.657536726144393,100.0,1.791759469228055,8.958797346140274,100.0,100.0,Viral Hit
222,Rain Tree Cafe at The Athenee Hotel,เรน ทรี คาเฟ่ ดิ แอทธินี โฮเทล แบงค็อก,Ploenchit,02-650-8800,Rain Tree Cafe at The Athenee Hotel Ploenchit Bangkok,5.0,4.8,6960298.0,456783.0,71284.0,42.0,4,882805.98,13.690861859994087,87.43943635229402,1.791759469228055,8.600445452294663,96.0,90.00760544660581,Viral Hit
168,Attico Cucina Italiana Radisson Blu Plaza Bangkok,แอทติโก้ โรงแรม เรดิสัน บลู พลาซ่า กรุงเทพฯ,Asok,23023329,Attico Cucina Italiana Radisson Blu Plaza Bangkok Asok Bangkok,5.0,4.4,2998350.0,105695.0,26204.0,42.0,2,266698.5,12.493877835402694,79.79465770334656,1.791759469228055,7.883741664603442,88.00000000000001,82.2562603923426,Viral Hit
33,Audrey Cafe Thonglor Soi 11,ออเดรย์ คาเฟ่ ทองหล่อ ซ.11,Thonglor,27126667,Audrey Cafe Thonglor Soi 11 Thonglor Bangkok,5.0,3.2,782412.0,30805.0,5588.0,42.0,0,66569.12,11.106011107206914,70.93076836704778,1.791759469228055,5.733630301529776,64.0,68.85153785693343,Viral Hit
701,Le Boeuf,เลอเบิฟ,Bangkok,948969038,Le Boeuf Bangkok Bangkok,0.0,0.0,19126901.0,1069383.0,162084.0,40.0,23,2071072.01,14.543577393257056,92.88547520359772,0.0,0.0,0.0,65.0198326425184,Viral Hit
4686,Le Salon Café Bangkok,เลอ ซาลอน คาเฟ่ กรุงเทพฯ,Ploenchit,997468899,Le Salon Café Bangkok Ploenchit Bangkok,0.0,0.0,15639042.0,901942.0,149197.0,20.0,1744,1804317.42,14.405693471789576,92.00485187261586,0.0,0.0,0.0,64.4033963108311,Viral Hit
5839,"Le Petit Chef at Sheraton Grande Sukhumvit, a Luxury Collection Hotel , Bangkok",เลอ เปอติต์ เชฟ เชอราตัน กรุงเทพ,Asok,26498353,"Le Petit Chef at Sheraton Grande Sukhumvit, a Luxury Collection Hotel , Bangkok Asok Bangkok",0.0,0.0,15639042.0,901942.0,149197.0,20.0,2712,1804317.42,14.405693471789576,92.00485187261586,0.0,0.0,0.0,64.4033963108311,Viral Hit
1990,Le Mecier Bangkok,เลอ เมอเซีย,Nonthaburi,619287897,Le Mecier Bangkok Nonthaburi Bangkok,0.0,0.0,15639042.0,901942.0,149197.0,20.0,255,1804317.42,14.405693471789576,92.00485187261586,0.0,0.0,0.0,64.4033963108311,Viral Hit
712,Vertigo TOO Banyan Tree,เวอร์ทิโก้ทู โรงแรมบันยันทรี,Sathon,26791200,Vertigo TOO Banyan Tree Sathon Bangkok,0.0,0.0,18456387.0,718461.0,85625.0,80.0,24,1331149.87,14.101554441817537,90.0624069319363,0.0,0.0,0.0,63.043684852355405,Viral Hit
447,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Chidlom,26879100,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok Chidlom Bangkok,0.0,0.0,7435658.0,609517.0,80440.0,42.0,15,1086073.58,13.898080451151214,88.7628794633111,0.0,0.0,0.0,62.13401562431776,Viral Hit
828,The Eatery at Four Points by Sheraton Bangkok Sukhumvit 15,ดิ อีทเทอรี่ โรงแรมโฟร์พอยท์ส บาย เชอราตัน สุขุทวิท 15,Nana,23093000,The Eatery at Four Points by Sheraton Bangkok Sukhumvit 15 Nana Bangkok,0.0,0.0,5618566.0,517476.0,78992.0,42.0,46,968621.66,13.783630403267747,88.03192126800083,0.0,0.0,0.0,61.622344887600576,Viral Hit
