iter	MultiClass
0	1.013957341
1	0.9461564245
2	0.9042174551
3	0.8560081564
4	0.817357586
5	0.7845809184
6	0.7574432749
7	0.7339249049
8	0.7116446052
9	0.6943526208
10	0.6774717727
11	0.6621424258
12	0.6496941023
13	0.6380725727
14	0.6264683611
15	0.6180276224
16	0.608795083
17	0.6009976705
18	0.5929518835
19	0.5869416576
20	0.5804968403
21	0.5750442725
22	0.5706058604
23	0.5665550573
24	0.5624758109
25	0.5583363634
26	0.5551095778
27	0.5516493599
28	0.5479723531
29	0.5450346677
30	0.5417202336
31	0.538917038
32	0.5357883066
33	0.5331289454
34	0.530915481
35	0.5286007757
36	0.5268020328
37	0.5243770734
38	0.5225520268
39	0.5210165711
40	0.5198913237
41	0.5181976957
42	0.5162026372
43	0.515008759
44	0.5138886553
45	0.5125676958
46	0.5111356611
47	0.5098278213
48	0.5084003861
49	0.50658416
50	0.5058626097
51	0.5057051569
52	0.5051264205
53	0.5037238747
54	0.5036242671
55	0.5027296735
56	0.5010529011
57	0.4990299864
58	0.4984465137
59	0.4974572817
60	0.4957409286
61	0.4950449569
62	0.4939617243
63	0.4926885569
64	0.491092634
65	0.4908925342
66	0.4898532249
67	0.4892130288
68	0.4884276725
69	0.4874318256
70	0.4865244994
71	0.4855208859
72	0.4839941478
73	0.4830717529
74	0.4822223302
75	0.4810793853
76	0.4803151382
77	0.4794850241
78	0.478374353
79	0.4773969033
80	0.4763043889
81	0.4756616021
82	0.4746898041
83	0.4741559491
84	0.4729703321
85	0.4720709335
86	0.4715144493
87	0.4707812877
88	0.4695540294
89	0.4686777726
90	0.4680146108
91	0.4669007994
92	0.4660362297
93	0.4654820643
94	0.4641705256
95	0.4637830105
96	0.463060302
97	0.461796782
98	0.461172208
99	0.4603903098
