iter	Passed	Remaining
0	219	21751
1	400	19605
2	470	15201
3	581	13959
4	756	14368
5	909	14252
6	1062	14113
7	1156	13296
8	1352	13674
9	1555	13996
10	1778	14390
11	1915	14045
12	2083	13944
13	2267	13931
14	2434	13795
15	2603	13667
16	2773	13540
17	2952	13448
18	3138	13379
19	3323	13294
20	3492	13140
21	3616	12820
22	3696	12374
23	3860	12224
24	4395	13186
25	4883	13899
26	5286	14292
27	5562	14303
28	5799	14198
29	5931	13839
30	6148	13684
31	6395	13589
32	6559	13318
33	6746	13096
34	6948	12904
35	7135	12685
36	7135	12685
37	8652	14499
38	9355	15017
39	9539	14675
40	9714	14328
41	9944	14067
42	10213	13861
43	10543	13731
44	10783	13479
45	10783	13479
46	12778	15050
47	13838	15643
48	14818	16079
49	15096	15725
50	15820	15820
51	15881	15246
52	16088	14826
53	16469	14569
54	16528	14033
55	17107	13939
56	17358	13571
57	17710	13282
58	18623	13395
59	19225	13258
60	19701	13023
61	20031	12686
62	20331	12332
63	20582	11950
64	20709	11505
65	20962	11136
66	21139	10732
67	21380	10366
68	21753	10064
69	21962	9689
70	22182	9322
71	22382	8953
72	22576	8585
73	22752	8216
74	22983	7871
75	23155	7510
76	23393	7173
77	23670	6852
78	23894	6516
79	24026	6160
80	24363	5859
81	24536	5520
82	24711	5186
83	25078	4893
84	25278	4568
85	25586	4264
86	25817	3948
87	25989	3626
88	26248	3318
89	26401	3000
90	26564	2686
91	31362	2787
92	31592	2430
93	32762	2136
94	34594	1859
95	35011	1489
96	39093	1234
97	41016	854
98	42939	442
99	43517	0
